Load team,Col 1: Abbrev,Col 2: Team Name,Col 3: TeamRosterCSV-path
x,ATL,Atlanta Hawks,../data/csv/ATL.csv
x,BKN,Brooklyn Nets,../data/csv/BKN.csv
x,BOS,Boston Celtics,../data/csv/BOS.csv
x,CHA,Charlotte Hornets,../data/csv/CHA.csv
x,CHI,Chicago Bulls,../data/csv/CHI.csv
x,CLE,Cleveland Cavaliers,
x,DAL,Dallas Mavericks,
x,DEN,Denver Nuggets,
x,DET,Detroit Pistons,
x,GSW,Golden State Warriors,../data/csv/GSW.csv
x,HOU,Houston Rockets,
x,IND,Indiana Pacers,
x,LAC,Los Angeles Clippers,
x,LAL,Los Angeles Lakers,
x,MEM,Memphis Grizzlies,
x,MIA,Miami Heat,
x,MIL,Milwaukee Bucks,
x,MIN,Minnesota Timberwolves,
x,NOP,New Orleans Pelicans,
x,NYK,New York Knicks,
x,OKC,Oklahoma City Thunder,
x,ORL,Orlando Magic,
x,PHI,Philadelphia 76ers,
x,PHX,Phoenix Suns,
x,POR,Portland Trail Blazers,
x,SAC,Sacramento Kings,
x,SAS,San Antonio Spurs,
x,TOR,Toronto Raptors,
x,UTA,Utah Jazz,
x,WAS,Washington Wizards,
